French,English
le group des pairs, the peer group
l'enfance, childhood
la jeunesse, youth
le gamin, kid
le gosse, kid
l'adolescent(e), teenager
l'adolescence, adolescence
le conflit des générations, generation gap
le comportement, behaviour
se comprter, to behave
la pression, pressure
le cocon familial, the family nest
l'alcool, alcohol
l'appui, support
le soutien, support
le mec, the bloke
l'avortement, abortion
avorter, to abort
le traumatisme, trauma
supporter, to put up with
affronter, to confront
faire face à, to confront
agacer, to annoy
embêtant, annoying
agaçant, annoying
rompre avec, to break up with
soûl(saoule), drunk
ivre, drunk
se saoûler, to get drunk
s'enivrer, to get drunk
déprimé, depressed
la peau, skin
tolérant(e), tolerant
la tolérance, tolerance
affectif(-ve), emotional
la rupture, break
les stupéfiants, drugs
la drogue, drug
se droguer, to take drugs
un toxicomane, an addict
clandestinement, secretly
la pilule, the pill
